Label	ID	URI	Scannet	Roomle	NYU40	Shapenet	COCO	FSO	Wordnet	Structural	Level
coffee box	1241	http://scan-net.org/concepts/coffee_box	coffee box		40				coffee_can.n.01	-	8
lunch box	1280	http://scan-net.org/concepts/tupperware	lunch box		40				breadbox.n.01	-	7
jewelry box	1299	http://scan-net.org/concepts/jewelry_box	jewelry box		29				box.n.01	-	7
folded boxes	1323	http://scan-net.org/concepts/folded_boxes	folded boxes		40				box.n.01	-	7
soda can	1339	http://scan-net.org/concepts/soda_can	soda can		40	can			can.n.01	-	7
glass	160	http://www.aidimme.es/FurnitureSectorOntology.owl#Glass	glass		38			glass	glass.n.02	-	7
wine glass	2030	http://atlantis-ar/indoor-taxonomy#wine_glass					wine glass		wineglass.n.01	-	8
dryer sheets	1348	http://scan-net.org/concepts/dryer_sheets	dryer sheets		40				box.n.01	-	7
handbag	2019	http://atlantis-ar/indoor-taxonomy#handbag					handbag		handbag.n.01	-	7
bag	2968	https://www.w3.org/2006/03/wn/wn20/instances/synset-bag-noun-01							bag.n.01	x	7
backpack	48	http://scan-net.org/concepts/backpack	backpack		40		backpack		backpack.n.01	-	8
paper bag	570	http://scan-net.org/concepts/paper_bag	paper bag		37				sack.n.01	-	8
grocery bag	1252	http://scan-net.org/concepts/grocery_bag	grocery bag		37	suitcase			grocery_bag.n.01	-	9
messenger bag	1072	http://scan-net.org/concepts/messenger_bag	messenger bag		37				mailbag.n.02	-	8
beanbag chair	1227	http://scan-net.org/concepts/beanbag_chair	beanbag chair		39				beanbag.n.01	-	8
ikea bag	1230	http://scan-net.org/concepts/ikea_bag	ikea bag		37					-	8
sleeping bag	1231	http://scan-net.org/concepts/sleeping_bag	sleeping bag		40				sleeping_bag.n.01	-	8
pot	1234	http://scan-net.org/concepts/pot	pot		40				sleeping_bag.n.01	-	8
golf bag	1264	http://scan-net.org/concepts/golf_bag	golf bag		37	suitcase			golf_bag.n.01	-	8
garbage bag	440	http://scan-net.org/concepts/garbage_bag	garbage bag		37	suitcase				-	8
cosmetic bag	480	http://scan-net.org/concepts/cosmetic_bag	cosmetic bag		37				toilet_bag.n.01	-	8
shopping bag	506	http://scan-net.org/concepts/shopping_bag	shopping bag		37				shopping_bag.n.01	-	8
tennis racket bag	1354	http://scan-net.org/concepts/tennis_racket_bag	tennis racket bag		40					-	8
food bag	1356	http://scan-net.org/concepts/food_bag	food bag		37					-	8
plastic_bag	2969	https://www.w3.org/2006/03/wn/wn20/instances/synset-plastic_bag-noun-01							plastic_bag.n.01	x	8
trash bag	1297	http://scan-net.org/concepts/trash_bag	trash bag		37				bin_liner.n.01	-	9
vessel	2970	https://www.w3.org/2006/03/wn/wn20/instances/synset-vessel-noun-03							vessel.n.03	x	7
bottle	65	http://scan-net.org/concepts/bottle	bottle		40	bottle	bottle		bottle.n.01	-	8
water bottle	392	http://scan-net.org/concepts/water_bottle	water bottle		40	bottle			water_bottle.n.01	-	9
flask	2971	https://www.w3.org/2006/03/wn/wn20/instances/synset-flask-noun-01							flask.n.01	x	9
vacuum_flask	2972	https://www.w3.org/2006/03/wn/wn20/instances/synset-vacuum_flask-noun-01							vacuum_flask.n.01	x	10
thermos	726	http://scan-net.org/concepts/thermos	thermos		40	bottle			thermos.n.01	-	11
bathtub	42	http://www.aidimme.es/FurnitureSectorOntology.owl#Bathtub	bathtub		36	tub		bathtub	bathtub.n.01	-	8
bucket	102	http://www.aidimme.es/FurnitureSectorOntology.owl#Bucket	bucket		40			bucket	bucket.n.01	-	8
water pitcher	488	http://scan-net.org/concepts/water_pitcher	water pitcher		40				pitcher.n.02	-	8
jar	919	http://scan-net.org/concepts/jar	jar		40	jar			jar.n.01	-	8
vase	194	http://www.aidimme.es/FurnitureSectorOntology.owl#Vase	vase		40	jar	vase	vase	vase.n.01	-	9
flowerpot	1217	http://www.aidimme.es/FurnitureSectorOntology.owl#Flowerpot	flowerpot		40	jar		flowerpot	vase.n.01	-	9
beer bottle	1206	http://scan-net.org/concepts/beer_bottle	beer bottle		40	bottle			bottle.n.01	-	8
cooking pot	226	http://scan-net.org/concepts/cooking_pot	cooking pot		40				pot.n.01	-	8
coffee kettle	1176	http://scan-net.org/concepts/coffee_kettle	coffee kettle		40				kettle.n.01	-	9
tea kettle	1309	http://scan-net.org/concepts/tea_kettle	tea kettle		40				teakettle.n.01	-	10
kettle	621	http://scan-net.org/concepts/kettle	kettle		40				kettle.n.01	-	9
teapot	997	http://scan-net.org/concepts/teapot	teapot		40				teapot.n.01	-	9
pitcher	1222	http://scan-net.org/concepts/pitcher	pitcher		40				pitcher.n.02	-	8
spray bottle	1228	http://scan-net.org/concepts/spray_bottle	spray bottle		40	bottle			bottle.n.01	-	8
soap bottle	1229	http://scan-net.org/concepts/bath_product	soap bottle		40				bottle.n.01	-	8
shampoo bottle	167	http://scan-net.org/concepts/shampoo_bottle	shampoo bottle		40	bottle			bottle.n.01	-	8
boiler	563	http://scan-net.org/concepts/boiler	boiler		40				boiler.n.01	-	8
mouthwash bottle	1262	http://scan-net.org/concepts/mouthwash_bottle	mouthwash bottle		40	bottle			bottle.n.01	-	8
lotion bottle	1279	http://scan-net.org/concepts/lotion_bottle	lotion bottle		40	bottle			bottle.n.01	-	8
dishwashing soap bottle	1304	http://scan-net.org/concepts/dishwashing_soap_bottle	dishwashing soap bottle		40	bottle			bottle.n.01	-	8
conditioner bottle	1308	http://scan-net.org/concepts/conditioner_bottle	conditioner bottle		40	bottle			bottle.n.01	-	8
contact lens solution bottle	1324	http://scan-net.org/concepts/contact_lens_solution_bottle	contact lens solution bottle		40	bottle			bottle.n.01	-	8
battery disposal jar	1346	http://scan-net.org/concepts/battery_disposal_jar	battery disposal jar		40	jar			jar.n.01	-	8
tank	397	http://scan-net.org/concepts/tank	tank		40				tank.n.02	-	8
water heater	571	http://www.aidimme.es/FurnitureSectorOntology.owl#WaterHeater	water heater		40			water heater	water_heater.n.01	-	9
bath tub	2973	http://atlantis-ar/indoor-taxonomy#bath_tub		bath tub					bathtub.n.01	-	8
drinking_vessel	2974	https://www.w3.org/2006/03/wn/wn20/instances/synset-drinking_vessel-noun-01							drinking_vessel.n.01	x	8
cup	130	http://www.aidimme.es/FurnitureSectorOntology.owl#Cup	cup		40	cup or mug	cup	cup	mug.n.04	-	9
coffee mug	907	http://scan-net.org/concepts/coffee_mug	coffee mug		40	cup or mug			coffee_mug.n.01	-	10
mug	1269	http://scan-net.org/concepts/mug	mug		40	cup or mug			mug.n.04	-	9
starbucks cup	1357	http://scan-net.org/concepts/starbucks_cup	starbucks cup		40	cup or mug			mug.n.04	-	9
